lon,lat,FullDate,Day,Month,Year,StateAbb,City,Corner
-88.703656,32.3643098,10/1/2004,1,10,2004,ID,Meridian,Meridian Rd. & Corporate Dr
-92.0198427,30.2240897,10/1/2004,1,10,2004,LA,Lafayette,Ambassador Pkwy & Inez
-120.6530063,40.4162842,9/25/2004,25,9,2004,CA,Susanville,Main & Riverside - Susanville
-158.0152807,21.4513314,9/21/2004,21,9,2004,HI,Mililani Town,Mililani Town Center
-71.3489484,42.4603719,9/17/2004,17,9,2004,CA,Concord,Concord & John Glenn
-122.7140548,38.440429,9/17/2004,17,9,2004,CA,Santa Rosa,Mendocino & Steele - Santa Rosa
-76.6196915,39.4370508,9/11/2004,11,9,2004,MD,Timonium,Timonium
-101.2922906,48.2329668,9/10/2004,10,9,2004,ND,Minot,Broadway & Burdick
-113.5684164,37.0965278,9/10/2004,10,9,2004,UT,St. George,Red Cliffs Dr & St. George Blvd
-74.0059728,40.7127753,9/3/2004,3,9,2004,NY,New York,39th & Park
-115.3597129,51.0892428,9/1/2004,1,9,2004,AB,Canmore,Mountain Side Village
-111.9400054,33.4255104,9/1/2004,1,9,2004,AZ,Tempe,"Priest & Washington, Tempe"
-114.8345117,35.9782216,9/1/2004,1,9,2004,NV,Boulder City,Nevada Hwy & Buchanan
-122.6764815,45.5230622,9/1/2004,1,9,2004,OR,Portland,Clackamas  Town Center
-98.2300124,26.2034071,9/1/2004,1,9,2004,TX,McAllen,10th & Jonquil
-77.4310992,38.8942786,9/1/2004,1,9,2004,VA,Chantilly,Chantilly Crossing
-117.4260465,47.6587802,9/1/2004,1,9,2004,WA,Spokane,Hawthorne & Nevada
-98.2300124,26.2034071,8/20/2004,20,8,2004,TX,McAllen,10th & Expwy 83
-111.9400054,33.4255104,8/1/2004,1,8,2004,AZ,Tempe,"Elliot & Priest, Tempe"
-113.4909267,53.544389,7/28/2004,28,7,2004,AB,Edmonton,Whyte Avenue
-157.8583333,21.3069444,7/20/2004,20,7,2004,HI,Honolulu,Outrigger Reef - Kalia & Beachwalk
-106.7636538,32.3199396,7/1/2004,1,7,2004,NM,Las Cruces,I-25 & Lohman
-96.1816626,38.403903,6/25/2004,25,6,2004,KS,Emporia,I-35 & I-335
-158.0091667,21.3866667,6/22/2004,22,6,2004,HI,Waipahu,Waikele Premium Outlets
-97.9297743,38.0608445,6/18/2004,18,6,2004,KS,Hutchinson,17th & Lorraine
-117.1610838,32.715738,6/11/2004,11,6,2004,CA,San Diego,Olympic Parkway & Eastlake
-87.840625,42.2586342,5/1/2004,1,5,2004,CA,Lake Forest,Muirlands & Ridge Route
-74.4229266,39.3642834,5/1/2004,1,5,2004,NJ,Atlantic City,"Atlantic City, The Walk"
-96.7311034,43.5445959,4/1/2004,1,4,2004,SD,Sioux Falls,41st and Louise
-84.4132594,33.5726113,4/1/2004,1,4,2004,UT,Riverdale,1140 W Riverdale Rd-Riverdale
-98.2300124,26.2034071,3/20/2004,20,3,2004,TX,McAllen,10th & Trenton
-77.026088,38.9906657,3/8/2004,8,3,2004,MD,Silver Spring,Downtown Silver Spring
-74.7276626,39.4523385,3/1/2004,1,3,2004,NJ,Mays Landing,Mays Landing Wrangleboro
-82.9987942,39.9611755,1/1/2004,1,1,2004,IN,Columbus,National & 17th
-159.3711111,21.9811111,12/18/2003,18,12,2003,HI,Lihue,Kukui Grove Center
-156.3366667,20.8366667,12/13/2003,13,12,2003,HI,Pukalani,Pukalani Terrace Center
-113.625642,53.6304753,12/3/2003,3,12,2003,AB,St. Albert,Village Landing
-97.0035982,28.8052674,11/10/2003,10,11,2003,BC,Victoria,Victoria Bay Centre
-155.0884869,19.7070942,10/4/2003,4,10,2003,HI,Hilo,Prince Kuhio Plaza Mall
-83.9207392,35.9606384,9/20/2003,20,9,2003,TN,Knoxville,Parkside Dr--Turkey Creek
-157.8583333,21.3069444,9/17/2003,17,9,2003,HI,Honolulu,Airport Trade Center - Paiea St
-124.9904494,49.6841391,8/23/2003,23,8,2003,BC,Courtenay,Courtenay Crossing
-156.4729469,20.8893351,8/19/2003,19,8,2003,HI,Kahului,Queen Kaahumanu Center
-118.3870173,33.7444613,8/8/2003,8,8,2003,CA,Rancho Palos Verdes,Palos Verdes Dr. West & Hawthorne
-100.7837392,46.8083268,8/1/2003,1,8,2003,ND,Bismarck,Bismarck-I-94 & State
-97.396381,27.8005828,8/1/2003,1,8,2003,TX,Corpus Christi,SPID & Staples
-122.2059833,47.6768927,8/1/2003,1,8,2003,WA,Kirkland,Rose Hill - Kirkland
-115.5707694,51.1783629,7/1/2003,1,7,2003,AB,Banff,Banff Avenue Mall
-100.7837392,46.8083268,6/1/2003,1,6,2003,ND,Bismarck,Bismarck-600 S. 3rd Street
-155.0884869,19.7070942,4/18/2003,18,4,2003,HI,Hilo,Hilo
-74.0434736,40.8859325,3/1/2003,1,3,2003,NJ,Hackensack,Hackensack
-77.2856305,37.2220383,2/13/2003,13,2,2003,BC,Prince George,College Heights
-88.1834277,43.4252776,2/2/2003,2,2,2003,WI,West Bend,Main & Paradise
-91.5301683,41.6611277,1/16/2003,16,1,2003,IA,Iowa City,Iowa City-Burlington & Clinton
-157.9255357,21.386338,1/15/2003,15,1,2003,HI,Aiea,Aiea Shopping Center
-97.330053,37.6871761,1/1/2003,1,1,2003,KS,Wichita,Central & Rock Rd
-73.7562317,42.6525793,1/1/2003,1,1,2003,OR,Albany,Fred Meyer Santiam - Albany
-157.8583333,21.3069444,11/30/2002,30,11,2002,HI,Honolulu,Ohana Waikiki West
-96.3344068,30.627977,11/11/2002,11,11,2002,TX,College Station,Texas & Holleman
-157.8583333,21.3069444,11/9/2002,9,11,2002,HI,Honolulu,Sears Ala Moana Center
-97.1383744,49.895136,10/1/2002,1,10,2002,MB,Winnipeg,Kildonan Crossing
-93.6091064,41.6005448,9/1/2002,1,9,2002,IA,Des Moines,Tenth & Locust
-155.6716667,20.0230556,8/3/2002,3,8,2002,HI,Kamuela,Parker Ranch Center
-156.6825,20.8783333,3/27/2002,27,3,2002,HI,Lahaina,Lahaina Cannery Mall
-74.4120953,40.5187154,3/1/2002,1,3,2002,NJ,Edison,Edison
-157.8583333,21.3069444,2/15/2002,15,2,2002,HI,Honolulu,Macys Ala Moana
-157.8583333,21.3069444,1/29/2002,29,1,2002,HI,Honolulu,Park Shore Hotel
-118.7986152,55.1699396,1/1/2002,1,1,2002,AB,Grande Prairie,Rio Can Centre
-77.2856305,37.2220383,1/1/2002,1,1,2002,BC,Prince George,Spruceland
-158.0568965,21.3353909,10/17/2001,17,10,2001,HI,Kapolei,Kapolei Halekuai Center
-118.8375937,34.1705609,10/1/2001,1,10,2001,CA,Thousand Oaks,"Wendy Drive & 101 Fwy, Thousand Oak"
-74.4120953,40.5187154,9/29/2001,29,9,2001,NJ,Edison,Menlo Park Mall
-76.053575,42.0855898,9/1/2001,1,9,2001,NY,Vestal,Vestal Parkway
-157.8583333,21.3069444,8/3/2001,3,8,2001,HI,Honolulu,Ward Theatres - Auahi & Kamakee St
-87.6297982,41.8781136,6/1/2001,1,6,2001,IL,Chicago,111 E. Chestnut
-118.9070887,34.1805403,4/1/2001,1,4,2001,CA,Newbury Park,Reino Road & Kimber Drive
-88.0070315,43.0166806,3/30/2001,30,3,2001,WI,West Allis,South 108th & Orchard
-156.4450063,20.7644275,2/23/2001,23,2,2001,HI,Kihei,Kukui Mall
-97.0035982,28.8052674,1/1/2001,1,1,2001,BC,Victoria,Broadmead
-71.0588801,42.3600825,1/1/2001,1,1,2001,MA,Boston,62 Boylston
-156.4450063,20.7644275,12/30/2000,30,12,2000,HI,Kihei,Piilani Village Shopping Center
-157.8583333,21.3069444,11/28/2000,28,11,2000,HI,Honolulu,Kapahulu Ave & Mooheau Ave
-81.655651,30.3321838,10/19/2000,19,10,2000,FL,Jacksonville,Windsor Commons
-86.7816016,36.1626638,9/1/2000,1,9,2000,TN,Nashville,2525 West End
-157.8583333,21.3069444,8/31/2000,31,8,2000,HI,Honolulu,Waikiki Trade Ctr - Kuhio & Seaside
-96.7969879,32.7766642,8/4/2000,4,8,2000,TX,Dallas,Lemmon & Knight
-96.8899636,32.9756415,5/1/2000,1,5,2000,TX,Carrollton,Old Denton & Hebron Pkwy
-157.8583333,21.3069444,1/28/2000,28,1,2000,HI,Honolulu,Financial Plaza - Bishop & Merchant
-122.6764815,45.5230622,1/15/2000,15,1,2000,OR,Portland,Clackamas Crossing
-95.3698028,29.7604267,1/1/2000,1,1,2000,TX,Houston,River Oaks - NE Corner
-159.3379818,22.0881391,5/4/1999,4,5,1999,HI,Kapaa,Kauai Village Shopping Center Kapaa
-156.6825,20.8783333,3/27/1999,27,3,1999,HI,Lahaina,Old Lahaina Ctr - Wainee & Papalaua
-157.8583333,21.3069444,2/25/1999,25,2,1999,HI,Honolulu,Koko Marina Center
-157.8583333,21.3069444,10/17/1998,17,10,1998,HI,Honolulu,Manoa Valley - E Manoa Road
-158.0152807,21.4513314,7/1/1998,1,7,1998,HI,Mililani Town,Mililani Shopping Center
-157.8583333,21.3069444,6/8/1998,8,6,1998,HI,Honolulu,Windward City Shopping Center
-158.1034112,21.5927614,2/5/1998,5,2,1998,HI,Haleiwa,Pupukea
-116.2146068,43.6187102,2/1/1998,1,2,1998,ID,Boise,17th & State/Boise
-157.8583333,21.3069444,12/8/1997,8,12,1997,HI,Honolulu,Duty Free Shopper
-157.9255357,21.386338,11/28/1997,28,11,1997,HI,Aiea,Pearlridge Mall
-157.9255357,21.386338,11/21/1997,21,11,1997,HI,Aiea,Pearlridge Center
-157.8583333,21.3069444,8/11/1997,11,8,1997,HI,Honolulu,Bishop & King St
-87.9000856,43.1133444,6/27/1997,27,6,1997,WI,Whitefish Bay,Silver Spring & Santa Monica
-156.4729469,20.8893351,5/28/1997,28,5,1997,HI,Kahului,Maui Marketplace on Dairy Road
-157.8583333,21.3069444,12/12/1996,12,12,1996,HI,Honolulu,Kahala Mall Interior - Waialae Ave
-87.7300594,42.0044757,3/26/1996,26,3,1996,IL,Lincolnwood,Touhy & Kostner
-77.4360481,37.5407246,2/1/1996,1,2,1996,VA,Richmond,Shops at the Arboretum
-97.3307658,32.7554883,1/1/1996,1,1,1996,TX,Fort Worth,Camp Bowie
-96.7969879,32.7766642,10/1/1995,1,10,1995,TX,Dallas,Dallas Galleria
-95.3698028,29.7604267,1/1/1995,1,1,1995,TX,Houston,River Oaks - Shopping Center
-96.7969879,32.7766642,12/1/1994,1,12,1994,TX,Dallas,Knox Street
-95.3698028,29.7604267,12/1/1994,1,12,1994,TX,Houston,Westheimer & Suffolk
-71.0588801,42.3600825,4/15/1994,15,4,1994,MA,Boston,Starbucks Boston Common
-97.0035982,28.8052674,3/11/1994,11,3,1994,BC,Victoria,Fort Street
-122.3320708,47.6062095,5/1/1993,1,5,1993,WA,Seattle,Pioneer Square
-87.8406192,42.0111412,1/1/1993,1,1,1993,IL,Park Ridge,Prospect & NW Hwy - Parkridge
-117.8730142,33.5978595,4/3/1992,3,4,1992,CA,Corona Del Mar,Corona Del Mar
-122.6764815,45.5230622,8/9/1991,9,8,1991,OR,Portland,15th & Broadway
-123.1207375,49.2827291,3/2/1991,2,3,1991,BC,Vancouver,Robson II - Robson & Thurlow
-123.1207375,49.2827291,3/1/1987,1,3,1987,BC,Vancouver,Seabus
-104.8213634,38.8338816,6/1/1931,1,6,1931,CO,Colorado Springs,Cheyenne Meadows
-84.6154897,34.0234337,10/5/2016,5,10,2016,GA,Kennesaw,Highway 41 and Barrett Parkway
-74.0059728,40.7127753,10/5/2016,5,10,2016,NY,New York,Broadway and 9th
-122.0651819,37.9100783,10/3/2016,3,10,2016,CA,Walnut Creek,Ygnacio & Oak Grove
-118.2436849,34.0522342,10/3/2016,3,10,2016,CA,Los Angeles,Griffith Park & Hyperion
-87.0211007,32.4073589,10/3/2016,3,10,2016,CA,Selma,Floral & Hwy 99
-104.990251,39.7392358,10/3/2016,3,10,2016,CO,Denver,Alameda and Federal
-86.6782691,33.4129508,10/3/2016,3,10,2016,GA,Moultrie,E Bypass and Doc Darbyshire
-84.2940899,34.0753762,10/3/2016,3,10,2016,GA,Alpharetta,North Point & Haynes Bridge
-91.0432051,41.424473,10/3/2016,3,10,2016,IA,Muscatine,Hwy 61 Muscatine
-93.0738305,45.0574658,10/3/2016,3,10,2016,MN,Vadnais Heights,Hwy 96 and Centerville Road
-80.0394977,40.3275697,10/3/2016,3,10,2016,PA,Bethel Park,South Hills Village
-76.727745,39.9625984,10/3/2016,3,10,2016,PA,York,"Kenneth Road, York"
-98.4936282,29.4241219,10/3/2016,3,10,2016,TX,San Antonio,Bandera & Huebner
-98.1836216,26.1947962,10/3/2016,3,10,2016,TX,Pharr,E. Ridge Rd. & S. Cage Blvd
-96.6705503,33.1031744,10/3/2016,3,10,2016,TX,Allen,Alma & Exchange
-122.1770818,48.0517637,10/3/2016,3,10,2016,WA,Marysville,64th St NE & 47th Ave NE
-94.8672793,42.0655986,10/1/2016,1,10,2016,MD,Carroll,609 Baltimore Blvd
-84.4343341,33.8426856,9/30/2016,30,9,2016,CO,Westminster,92nd and Sheridan
-120.7401385,47.7510741,9/30/2016,30,9,2016,DC,Washington,Renaissance Hotel
14.2681244,40.8517746,9/30/2016,30,9,2016,FL,Naples,Collier & Triangle
-106.7234639,39.576406,9/30/2016,30,9,2016,ID,Eagle,Hwy 44 and Edgewood - Eagle
-78.7811169,35.79154,9/30/2016,30,9,2016,IL,Cary,Northwest Hwy & Feinberg Dr
-88.1070127,41.8661403,9/30/2016,30,9,2016,IL,Wheaton,Wheaton Danada
-71.0588801,42.3600825,9/30/2016,30,9,2016,MA,Boston,Copley Marriott
-81.5190053,41.0814447,9/30/2016,30,9,2016,OH,Akron,West Market Street
-98.8719843,30.2752011,9/30/2016,30,9,2016,VA,Fredericksburg,"Fredericksburg, Warrenton Road"
-90.5040214,43.9785759,9/30/2016,30,9,2016,WI,Tomah,Tomah
-87.8631362,42.8858503,9/30/2016,30,9,2016,WI,Oak Creek,6th & Drexel
-116.7872399,33.9175154,9/29/2016,29,9,2016,CA,Cabazon,Seminole & Morongo Trail
-87.6297982,41.8781136,9/29/2016,29,9,2016,IL,Chicago,63rd & Halsted
-87.7439384,41.6028116,9/29/2016,29,9,2016,IL,Oak Forest,159th & Cicero
-91.1403196,30.4582829,9/29/2016,29,9,2016,LA,Baton Rouge,Ariline and Antioch
-76.9074739,39.0348317,9/29/2016,29,9,2016,MD,Beltsville,Beltsville Route 1
-77.017174,38.780992,9/29/2016,29,9,2016,MI,Gaylord,Gaylord-W Main Street
-84.5555347,42.732535,9/29/2016,29,9,2016,MI,Lansing,Lansing - Cedar & I-96
-74.0059728,40.7127753,9/29/2016,29,9,2016,NY,New York,Madison btwn 84th & 85th
-78.8657912,43.8970929,9/29/2016,29,9,2016,ON,Oshawa,Oshawa Centre Food Court
-86.6558345,34.7517708,9/28/2016,28,9,2016,GA,Oakwood,Mundy Mill Road and Thurmond Tanner
-74.0059728,40.7127753,9/28/2016,28,9,2016,NY,New York,Brookfield Place 2
-79.7624177,43.7315479,9/28/2016,28,9,2016,ON,Brampton,190 Queen Street East
-79.3831843,43.653226,9/28/2016,28,9,2016,ON,Toronto,65 Queen Street West Concourse
-81.0998342,32.0835407,9/27/2016,27,9,2016,GA,Savannah,135 W. Bay Street
-98.4936282,29.4241219,9/26/2016,26,9,2016,TX,San Antonio,Blanco & Wurzbach
-118.781482,34.2694474,9/24/2016,24,9,2016,CA,Simi Valley,Hwy 118 and First
-112.3579364,33.4933743,9/23/2016,23,9,2016,AZ,Litchfield Park,Camelback & Litchfield
-82.0037608,28.927019,9/23/2016,23,9,2016,FL,Villages,US 192 & Celebration
-82.6995443,27.8428025,9/23/2016,23,9,2016,FL,Pinellas Park,Park & Belcher
-87.840625,42.2586342,9/23/2016,23,9,2016,IL,Lake Forest,Western & Deerpath - Lake Forest
-72.2267383,42.5959329,9/23/2016,23,9,2016,MA,Athol,Athol Commons
-75.6412775,42.8911782,9/23/2016,23,9,2016,NC,Morrisville,Park West Village
-81.6943605,41.49932,9/23/2016,23,9,2016,OH,Cleveland,Clifton Boulevard
-117.1610838,32.715738,9/22/2016,22,9,2016,CA,San Diego,Carmel Mountain & Rancho Carmel Dr.
-81.9495331,26.5628537,9/22/2016,22,9,2016,FL,Cape Coral,Del Prado Blvd
-87.6297982,41.8781136,9/22/2016,22,9,2016,IL,Chicago,333 N. Michigan Avenue
-74.0059728,40.7127753,9/22/2016,22,9,2016,NY,New York,10 Waverly Place
-73.8648268,40.8447819,9/22/2016,22,9,2016,NY,Bronx,Throgs Neck Shopping Center
-73.9441579,40.6781784,9/22/2016,22,9,2016,NY,Brooklyn,7th Ave and 9th St
-96.2752569,32.7359626,9/21/2016,21,9,2016,TX,Terrell,Hwy 20 & FM 148
-76.6121893,39.2903848,9/20/2016,20,9,2016,MD,Baltimore,10 Light St
-80.4139393,37.2295733,9/20/2016,20,9,2016,VA,Blacksburg,First & Main
-74.0059728,40.7127753,9/19/2016,19,9,2016,NY,New York,Second between 93rd and 94th
-95.3698028,29.7604267,9/19/2016,19,9,2016,TX,Houston,Hwy 290 & 43rd Street
-118.2436849,34.0522342,9/17/2016,17,9,2016,CA,Los Angeles,Alameda & 14th
-82.5306527,27.3364347,9/16/2016,16,9,2016,FL,Sarasota,S. Tamiami Trail & Beneva
-96.7969879,32.7766642,9/16/2016,16,9,2016,TX,Dallas,Northpark Mall  Level 1
-94.5785667,39.0997265,9/13/2016,13,9,2016,MO,Kansas City,96th and North Oak
-120.7401385,47.7510741,9/12/2016,12,9,2016,DC,Washington,Trump Hotel
-156.4729469,20.8893351,9/12/2016,12,9,2016,HI,Kahului,"Waiale Rd & Kuikahi Dr, Wailuku"
-73.4170673,40.6789893,9/12/2016,12,9,2016,NY,Amityville,Amityville- Broadway
-117.0230839,32.7678287,9/9/2016,9,9,2016,CA,La Mesa,Campo Road & Avocado Blvd.
-78.6381787,35.7795897,9/9/2016,9,9,2016,NC,Raleigh,Crabtree
-87.7525511,41.6611444,9/8/2016,8,9,2016,IL,Crestwood,Crestwood Commons
-97.1383744,49.895136,9/8/2016,8,9,2016,MB,Winnipeg,Main & Murray
-95.4346238,29.7303278,9/8/2016,8,9,2016,WA,Lakewood,Bridgeport Way & 100th - Lakewood
-122.2015159,47.6101497,9/8/2016,8,9,2016,WI,Bellevue,Monroe Rd & Landmark Blvd
-120.7401385,47.7510741,9/7/2016,7,9,2016,DC,Washington,"Takoma DC, Carroll St"
-97.4780954,35.6528323,9/6/2016,6,9,2016,OK,Edmond,Kelly and Danforth
-118.1937395,33.7700504,9/5/2016,5,9,2016,CA,Long Beach,Ocean & Alamitos
-98.4936282,29.4241219,9/5/2016,5,9,2016,TX,San Antonio,W Hildebrand & Fredricksburg
-71.0588801,42.3600825,9/2/2016,2,9,2016,MA,Boston,Seaport Blvd
-88.8278057,30.4113097,9/2/2016,2,9,2016,MS,Ocean Springs,Ocean Springs
-113.4909267,53.544389,9/1/2016,1,9,2016,AB,Edmonton,Currents of Windermere
-120.4829677,37.3021632,9/1/2016,1,9,2016,CA,Merced,MLK & 16th
-123.3283925,42.4390069,9/1/2016,1,9,2016,OR,Grants Pass,Parkway & Terry Lane - Grants Pass
-122.2711137,37.8043637,8/30/2016,30,8,2016,CA,Oakland,Broadway & 30th
-74.1985597,40.8644792,8/29/2016,29,8,2016,CA,Montclair,Holt & Ramona
-115.1398296,36.1699412,8/29/2016,29,8,2016,NV,Las Vegas,Sahara & Rye
-97.7430608,30.267153,8/29/2016,29,8,2016,TX,Austin,1st & Oltorf
-104.8202462,41.1399814,8/29/2016,29,8,2016,WY,Cheyenne,Yellowstone and Storey - Cheyenne
-118.195672,50.998115,8/26/2016,26,8,2016,BC,Revelstoke,Revelstoke Trans Canada
-105.1019275,40.1672068,8/26/2016,26,8,2016,CO,Longmont,Ken Pratt and S Ken Pratt
-82.3248262,29.6516344,8/26/2016,26,8,2016,GA,Gainesville,Thompson Bridge and Brandon
-84.5499327,33.952602,8/26/2016,26,8,2016,GA,Marietta,Sandy Plains & Gordy
-87.6297982,41.8781136,8/26/2016,26,8,2016,IL,Chicago,Barry & Broadway
-111.8314724,33.4151843,8/25/2016,25,8,2016,AZ,Mesa,Power Rd & Baseline Rd
-119.0187125,35.3732921,8/25/2016,25,8,2016,CA,Bakersfield,Olive & Calloway
-121.5682751,37.0057816,8/25/2016,25,8,2016,CA,Gilroy,Camino Arroyo & Renz
-80.0394977,40.3275697,8/25/2016,25,8,2016,PA,Bethel Park,Bethel Park
-112.2718239,33.5975393,8/22/2016,22,8,2016,AZ,Sun City,107th Ave & Grand
-117.1610838,32.715738,8/22/2016,22,8,2016,CA,San Diego,Qualcomm & Camino Del Rio
-121.8746789,37.6624312,8/20/2016,20,8,2016,CA,Pleasanton,Bernal & Stanley - Pleasanton
-122.0607963,37.9479786,8/20/2016,20,8,2016,CA,Pleasant Hill,Contra Costa Blvd and Concord Ave
-122.4194155,37.7749295,8/19/2016,19,8,2016,CA,San Francisco,3rd & Evans
-79.3831843,43.653226,8/19/2016,19,8,2016,ON,Toronto,King & Sherbourne
-118.255075,34.1425078,8/18/2016,18,8,2016,CA,Glendale,Foothill & Willalee
-121.4943996,38.5815719,8/18/2016,18,8,2016,CA,Sacramento,Elkhorn & Diablo
-87.5000412,41.5833688,8/17/2016,17,8,2016,IN,Hammond,"Indianapolis & Interstate, Hammond"
-99.0816784,40.6993303,8/16/2016,16,8,2016,NE,Kearney,42nd and 2nd - Kearney
-122.2055884,47.76095,8/16/2016,16,8,2016,WA,Bothell,Bothell Everett Hwy & 220th St SE
-87.6800965,42.0408766,8/15/2016,15,8,2016,NA,Space #004,Billings - King and 20th
-101.8551665,33.5778631,8/15/2016,15,8,2016,TX,Lubbock,98th & Slide
-117.8939364,34.1396215,8/12/2016,12,8,2016,CA,Monrovia,Huntington Drive & Buena Vista
-121.9623751,37.2358078,8/12/2016,12,8,2016,CA,Los Gatos,Union & Los Gatos Almaden
-118.1058333,34.0961111,8/12/2016,12,8,2016,CA,San Gabriel,Rosemead & Duarte
-81.2081203,28.669997,8/12/2016,12,8,2016,FL,Oviedo,Mitchell Hammock & City Plaza
-85.7371847,38.2775702,8/12/2016,12,8,2016,OH,Jeffersonville,Jeffersonville
-122.9805104,49.2488091,8/11/2016,11,8,2016,BC,Burnaby,Station Square Kingsway
-121.8863286,37.3382082,8/11/2016,11,8,2016,CA,San Jose,Almaden & Cherry
-70.861985,41.991213,8/11/2016,11,8,2016,NS,Halifax,5640 Spring Garden Road
-113.625642,53.6304753,8/9/2016,9,8,2016,AB,St. Albert,Erin Ridge
-114.9817213,36.0395247,8/8/2016,8,8,2016,NV,Henderson,Horizon Ridge & Green Valley
-78.8866943,33.6890603,8/5/2016,5,8,2016,SC,Myrtle Beach,Grand Dunes
-122.9805104,49.2488091,8/4/2016,4,8,2016,BC,Burnaby,Station Square Central Blvd.
-118.3964665,34.0211224,8/4/2016,4,8,2016,CA,Culver City,Slauson & Sepulveda
